英语,中文简体,中文繁体,日语,阿尔巴尼亚语,阿拉伯语,阿姆哈拉语,阿塞拜疆语,爱尔兰语,爱沙尼亚语,巴斯克语,白俄罗斯语,保加利亚语,冰岛语,波兰语,波斯尼亚语,波斯语,布尔语(南非荷兰语),丹麦语,德语,俄语,法语,菲律宾语,芬兰语,弗里西语,高棉语,格鲁吉亚语,古吉拉特语,哈萨克语,海地克里奥尔语,韩语,豪萨语,荷兰语,布尔吉斯语,加利西亚语,加泰罗尼亚语,捷克语,卡纳达语,科西塞语,克罗地亚语,库尔德语,拉丁语,拉脱维亚语,老挝语,立陶宛语,卢森堡语,罗马尼亚语,马尔加什语,马耳他语,马拉地语,马拉雅拉姆语,马来语,马其顿语,毛利语,蒙古语,孟加拉语,缅甸语,苗语,南非科萨语,南非祖鲁语,尼泊尔语,挪威语,旁遮普语,葡萄牙语,普什图语,齐切瓦语,瑞典语,萨摩亚语,塞尔维亚语,塞索托语,僧伽罗语,世界语,斯洛伐克语,斯洛文尼亚语,斯瓦希里语,苏格兰盖尔语,宿务语,索马里语,塔吉克语,泰卢固语,泰米尔语,泰语,土耳其语,威尔士语,乌尔都语,乌克兰语,乌兹别克语,西班牙语,希伯来语,希腊语,夏威夷语,信德语,匈牙利语,修纳语,亚美尼亚语,伊博语,意大利语,意第绪语,印地语,印尼異他语,印尼语,印尼爪哇语,约鲁巴语,越南语
albatross,信天翁,信天翁,アルバトロス,Albatrosi,القطرس طائر بحري كبير,አልባትሮስ,albatros,albatross,albatross,albatros,альбатрос,албатрос,albatross,albatros,albatross,آلباتروس,albatros,Albatrossen,Albatros,альбатрос,albatros,albatross,albatrossi,albatross,albatross,ალბატროსი,અલ્બાટ્રોસ,альбатрос,albatross,신천옹,albatross,albatros,курсор,albatros,albatros,albatros,ಕಡಲುಕೋಳಿ,albatros,albatros,albatross,albatross,albatross,albatross,Albatrosas,Albatross,albatros,lohovava,albatross,अल्बट्रॉस,ആൽബർട്ട്സ്,albatross,albatross,albatross,albatross,বৃহদাকার সামুদ্রি পক্ষিবিশেষ,albatross,albatross,albatross,i-albatross,albatross,albatross,ਐਲਬਾਸਟਰਸ,albatroz,البتهټراس,albatross,albatross,albatross,албатрос,albatross,ඇල්බට්රොස්,albatroso,albatros,albatros,albatros,albatross,albatross,Albatross,albatross,ఆల్బట్రాస్,அல்பட்ரோஸ்,นกทะแลชนิทใหญ่,albatros,albatros,albatross,альбатрос,albatros,albatros,אַלבַּטרוֹס,αλμπατρός,kele,البمراورس,albatrosz,albatross,ալբատոսս,albatross,albatro,אַלבאַטראָסס,भारी अड़चन,albatross,elang laut,albatross,albatross,albatross
alligator,鳄鱼,鱷魚,アリゲーター,aligator,تمساح إستوائي,ሐይቅ,alligator,ailigéadar,alligaator,Alligator,алігатар,алигатор,alligator,aligator,aligator,تمساح,krokodil,alligator,Alligator,аллигатор,alligator,buaya,alligaattori,alligator,ក្រពើ,ალიგატორი,મગર,аллигатор,Kayiman,악어,alaƙa,alligator,аллигатор,alligator,caiman,aligátor,ಅಲಿಗೇಟರ್,alligator,aligator,alîgator,alligator,aligators,alligator,aligatorius,Alligator,aligator,alligator,alligatur,मगरमच्छ,എലിജേറ്റർ,buaya,алигатор,Tuhinga o mua,матар,নক্র,မိကြောငျးမြိုး,tus phom sij,alligator,i-alligator,आविष्कारक,alligator,ਮਲੀਗਰਰ,jacaré,غصب,alligator,alligator,atigatoru,алигатор,alligator,ඇලිගැටයා,kroigilo,aligátor,aligator,aligator,ailigator,buaya,xayeysiin,аллигатор,ఎలిగేటర్,முதலை,จระเข้,timsah,ailigydd,مگرمچرچھ,алігатор,timsol,timsol,תַנִין,αλλιγάτορας,alligator,ايجاد ڪندڙ,aligátor,alligator,թալիշը,onye na-aga agha,alligatore,אַלאַגייטער,मगर,aligator,buaya,Boyo,alupupu,cá sấu
alpaca,羊驼,羊駝,アルパカ,alpaca,صوف الألبكة,አልፓካካ,alpaka,alpaca,alpaka,Alpaka,альпака,алпака,alpakka,alpaka,alpaka,آلپاکا,alpaca,alpaca,Alpaka,альпака,alpaga,alpaca,alpakka,alpaca,អាល់ប៉ាក,ალპაკა,આલ્પાકા,альпака,alpaka,알파카,alpaca,alpaca,Alpaca,alpaca,alpaca,alpaky,ಅಲ್ಪಾಕ,alpaca,alpaka,alpaca,alpaca,alpaka,alpaca,alpaka,alpaca,alpaca,alpaca,alpaka,अल्पाका,alpaca,alpaca,алпака,alpaca,alpaca,আলপাকা,alpaca,alpaca,alpaca,i-alpaca,अल्पाका,alpakka,ਅਲਪਾਕ,alpaca,الپکا,alpaca,alpacka,alpaca,алпака,alpaca,ඇල්පකා,alpaca,alpaka,alpaka,alpaka,alpaca,alpaca,alpaca,Алпакс,అల్పాకా,உரோம ஆடு,สัตว์ขนยาวในอเมริกาคล้ายแกะ,alpaka,alpaca,الپکا,альпака,alpaka,alpaka,אלפקה,αιγοκάμηλος,alpaca,ايڪسپيکا,alpaka,alpaca,ալպակա,alpaca,alpaca,אַלפּאַקאַ,उसकी ऊन का कपड़ा,alpaca,alpaca,alpaka,alpaca,alpaca
anglerfish,华脐鱼,華臍魚,アングラーフィッシュ,anglerfish,أبو الشص,anglerfish,anglerfish,iascaire,merikurat,anglerfish,вудзільшчыкі,дявол,sjávarfiskur,żabnica,ribarnica,ماهیگیری دریایی,zeeduivel,havtaske,Seeteufel,удильщик,lotte de mer,anglerfish,merikrotti,anglerfish,anglerfish,ანგლერის თევზი,માછલાં પકડનાર,балық аулау,Fwansè,낚시꾼,anglerfish,zeeduivel,anglerfish,rapeiro,rapastre,černý ryby,ಆಂಜರ್ಫಿಶ್,aries,grdobine,anglerfish,anglerfish,jūrasvelns,anglerfish,jūrų velnias,anglerfish,undițar,anglerfish,petriċi,अँकरफिश,ആങ്കർ ഫിഷ്,anglerfish,морска риба,koki,anglerfish,anglerfish,anglerfish,anglerfish,anglerfish,anglerfish,एङ्गलरफिश,breiflabb,anglerfish,anglerfish,انګلیسفش,anglerfish,marulk,faʻailoga,англерфисх,anglerfish,මුහුදේ මසුන් ඇල්ලීමයි,anglerfish,čert morský,morski pes,morski pes,anglerfish,anglerfish,anglerfish,англисӣ,anglerfish,anglerfish,anglerfish,fener balığı,anglerfish,انگلیفش,морські риби,anglerfish,anglerfish,דג,πεσκαντρίτσα,ka nui,اينگلرش,ördöghal,anglerfish,anglerfish,anglerfish,rana pescatrice,anglerfish,एंग्लरमछली,anglerfish,anglerfish,anglerfish,anglerfish,cá chình
ant,蚂蚁,螞蟻,蟻,milingonë,نملة,አንበሳ,qarışqa,frith,ant,ant,мурашка,мравка,maur,Mrówka,mravlje,مورچه,mier,myre,Ameise,муравей,fourmi,ant,muurahainen,ant,ស្រមោច,ant,કીડી,қасқыр,ant,개미,ant,mier,кумурска,formiga,Formiga,mravenec,ಇರುವೆ,ant,mrav,gêrîk,formica,ant,ant,ant,ant,furnică,vitsika,ant,मुंगी,ഉറുമ്പ്,semut,мравка,toka,шоргоолж,পিপীলিকা,ပရွက်ဆိတ်,ntsaum,intuthwane,ant,ant,maur,ਕੀੜੀ,formiga,انټرنټ,nyerere,myra,al,ант,bohloa,කූඹියා,ant,mravec,Mravlja,Mravlja,ant,ant,Quraanjo,анти,చీమల,எறும்பு,มด,karınca,ant,اینٹی,мурашки,chumoli,chumoli,נְמָלָה,μυρμήγκι,w,ant,hangya,nyere,ant,ant,formica,ant,चींटी,sireum,semut,ant,kokoro,kiến
anteater,食蚁兽,食蟻獸,先祖代々,anteater,آكل النمل,አንቲተር,anteater,anteater,anteater,anteater,мурашкаед,мравояд,anteater,mrówkojad,anteater,تئاتر,miereneter,myresluger,Ameisenbär,муравьед,fourmilier,anteater,muurahaiskarhu,anteater,anteater,ანტეატრი,એન્ટરટેર,антиратор,anteater,개척자,wasan kwaikwayo,miereneter,Anteater,anteater,hormigonera,mravenečník,ಪೂರ್ವಭಾವಿಯಾಗಿ,anteater,mravojed,anteater,anteater,anteater,anteater,anteater,Anteater,furnicar,mpihinam-bitsika,anteater,एन्टीएटर,അനന്തമായ,anteater,антетер,Tuhinga o mua,anteater,Anteater,anteater,anteater,umdlalo,i-anteater,एन्टेटर,anteater,ਐਂਟੀਟਰ,búria,انټرنټ,chiwonetsero,myrslok,tagata taaalo,антеатер,ho bapala,ඇන්ටිටීටර්,anteater,mravčiar,anteater,anteater,an-dè,anteater,anteater,антиатр,anteater,anteater இவை,ตัวนิ่ม,Karınca yiyen,anteater,اینٹیٹرٹر,антитеатр,anteater,anteater,אוֹכֵל נֶמַלִים,προστάτη,anteater,انٽرويو,hangyász,anteater,հակառակորդը,ihe nkiri,formichiere,אַנטיטער,anteater,anteater,tenggiling,anteater,anteater,người anteater
antelope,羚羊,羚羊,アンテロープ,antilopë,ظبي,አጋዘን,antilop,antalóip,antikeha,antilopea,антылопа,антилопа,antelope,antylopa,antelope,ضد قفس,wildsbokke,antilope,Antilope,антилопа,antilope,antilope,antilooppi,antelope,អង់ទីលីស,ანტელპია,કાળિયાર,антилопа,antilop,영양,antelope,antilope,антилопа,antílope,antílop,antilopa,ಜಿಂಕೆ,antilatu,antilopa,xezal,oryx illaqueatus,antilopes,antelope,antilopė,Antilop,antilopă,antilopa,antelope,काळवीट,മണ്ണിൽ വളരുന്നു,antelop,антилопа,antelope,буга,কৃষ্ণসারমৃগ,ဒရယ်ငယ်မျိုး,antelope,antelope,i-antelope,एन्टिओप,antilope,ਐਨੀਲੋਪ,antílope,انډول,antelope,antilop,uila,антелопе,antelope,උණ්ඩය,antilopo,antilopa,antilopa,antilopa,antelope,antelope,antelope,антофа,ANTELOPE,மான்,ละมั่ง,antilop,antelop,بدبختی,антилоп,antilopa,antilopa,אַנְטִילוֹפָּה,αντιλόπη,antelope,خوفناڪ آهي,antilop,antelope,անթելոպ,antelope,antilope,אַנטעלאָפּע,मृग,antelop,antelop,antelope,antelope,Linh dương
armadillo,犰狳,犰狳,アルマジロ,Armadillo,المدرع حيوان ثديي,armadillo,Armadillo,armadillo,vunts,armadillo,браняносец,броненосец,Beltisdýr,pancernik,armadillo,آرامیدو,gordeldier,bæltedyr,Gürteltier,броненосец,tatou,armadillo,vyötiäinen,armadillo,armadillo,არმადილო,આર્મડિલ્લો,армадилл,zam,아르마딜로,armadillo,gordeldier,Armadillo,armadillo,armadillo,pásovec,ಆರ್ಮಡಿಲೊ,armadillo,armadilo,armadillo,armadillo,bruņnesis,armadillo,Armadillo,Armadillo,Armadillo,armadillo,armadillo,आर्माडिलो,അർത്ഥമണ്ട്,Tenggiling,armadillo,armadillo,armadillo,সাঁজোয়া জাহাজ,Armadillo,armadillo,armadillo,i-armadillo,armadillo,armadillo,ਆਰਮੈਡਿਲੋ,tatu,ارامیلو,armadillo,bältdjur,armadillo,армадилло,armadillo,ආමර්ඩිලෝ,armadillo,pásavec,armadillo,armadillo,armadillo,armadillo,armadillo,армия,అలుక,ஆர்மடில்லோ,ตัวนิ่ม,armadillo,armadillo,بکتر بند اونٹ,броненосця,armadillo,armadillo,אַרמָדִיל,armadillo,armadillo,armadillo,tatú,armadillo,armadillo,armadillo,armadillo,אַרמאַדיללאָ,वर्मी,armadillo,armadillo,armadillo,armadillo,armadillo
badger,獾,獾,狸,lodh,فرو الغرير,ብሌር,porsuq,briosca,mäger,azkonarra,барсук,тормозя,skjöldur,borsuk,badger,گرگ,Das,grævling,Dachs,барсук,blaireau,mabango,mäyrä,badger,badger,მაჩვი,બેજર,борсық,badger,오소리,badger,das,ры,tejón,teixó,jezevec,ಕೆಟ್ಟದು,badger,jazavac,xerîb,operimentum pellem melis;,lielberlis,badger,barberis,badger,bursuc,badger,badger,बॅजर,ബാഡ്ജ്,badger,јазовец,putea,муухай,ব্যাজার,ဟာရှ,badger,ibhegi,amabheji,बिगर,grevling,ਬੈਜ਼ਰ,texugo,بډر,zikopa,grävling,pine,бадгер,badger,බජාජ්,Malgranda,jazvec,badger,badger,broc,badger,xajin,бад,కుక్క,பேட்ஜர்,รบกวน,porsuk,moch daear,بیج,борсук,badger,badger,גִירִית,ασβός,nui,خراب,borz,badger,պոռնիկ,badger,tasso,badger,बिज्जू,badger,luak,badger,badger,kẻ xấu
bear,熊,熊,くま,duroj,يتحمل,ድብ,ayı,iompróidh,kandke,bear,несці,мечка,bera,Niedźwiedź,nositi,خرس,dra,bjørn,Bär,медведь,ours,bear,karhu,bear,ខ្លាឃ្មុំ,დათვი,રીંછ,аю,lous,곰,hali,beer,көтөрүү,oso,suportar,medvěd,ಕರಡಿ,purtaranu,snositi,hirç,Ursa,sedz,bear,turėti,Bier,urs,hitondra,ibatu,अस्वल,ചുമക്കുക,beruang,мечка,mau,баавгай,ভালুক,ဝက်ဝံ,dais,ibhere,ibhere,भाडा,Bjørn,ਰਿੱਛ,Urso,صبر,kunyamula,Björn,uʻu,медвед,bere,වලහා,urso,medveď,medveda,medveda,iomair,oso,qaado,данд,భరించలేదని,தாங்க,หมี,ayı,arth,برداشت کریں,ведмедя,ayiq,ayiq,דוב,αρκούδα,ka bear,کڻندو,medve,bere,արջ,agba,orso,בער,भालू,biruang,beruang,bear,agbateru,chịu
